SequenceID	kingdom	phylum	class	order	family	genus	species	assignment	species_hypothesis	Confidence.x	taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource	assignment.1
ASV121	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	Sterigmatomyces_halophilus	Sterigmatomyces_halophilus	NA	1.0000000	Agaricostilbaceae	1CB1CCAC-36B9-11D5-9548-00D0592D548C	82058	9	Saprotroph	Undefined Saprotroph	Possible	NULL	NULL	Probably saprobic, usually associated with dead palm tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Sterigmatomyces_halophilus
ASV122	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	NA	Talaromyces	NA	0.9735482	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Talaromyces
ASV123	Fungi	Ascomycota	NA	NA	NA	NA	NA	Ascomycota	sSH1291810.09FU	0.9174729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota
ASV124	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Cladosporium	NA	0.9868291	Cladosporiaceae	6EDCD6E4-DE4D-443D-AF6B-A572F626BD45	816548	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))	Cladosporium
ASV125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	Phlebiopsis_flavidoalba	Phlebiopsis_flavidoalba	sSH1216930.09FU	0.9935234	Phlebiopsis	1CB1C9FB-36B9-11D5-9548-00D0592D548C	25478	13	Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Probable	Corticioid	White Rot	As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Phlebiopsis_flavidoalba
ASV126	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Sidera	NA	Sidera	sSH1110195.09FU	1.0000000	Sidera	97B47272-365F-4F6A-8BF6-A4ACD4016A3C	516944	13	Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Probable	Corticioid	White Rot	As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Sidera
ASV127	Fungi	NA	NA	NA	NA	NA	NA	NA	NA	0.9999846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA	Pleosporales	NA	0.9482380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pleosporales
ASV129	Fungi	NA	NA	NA	NA	NA	NA	NA	NA	0.9344336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV130	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea	Hortaea_werneckii	Hortaea_werneckii	sSH1000031.09FU	1.0000000	Teratosphaeriaceae	87A3FDCC-E75C-4F2E-B987-C7579847CE32	504465	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)	Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))	Hortaea_werneckii
ASV131	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Peniophorella	Peniophorella_odontiiformis	Peniophorella_odontiiformis	sSH1124815.09FU	1.0000000	Peniophorella	0CB5C5A6-62A5-4579-B5A2-76797F4EBA35	18202	13	Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Probable	Corticioid	White Rot	As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Peniophorella_odontiiformis
ASV132	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	NA	NA	Hymenochaetaceae	NA	0.9950857	Hymenochaetaceae	CC29D6F9-5984-496D-97E7-42EB138C1FEE	536196	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Wood Saprotroph	Probable	Corticioid-Polyporoid	NULL	Lignicolous, causing white rots, rarely ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Hymenochaetaceae
ASV133	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	Trichaptum	Trichaptum_sector	Trichaptum_sector	sSH0891791.09FU	0.9999832	Trichaptum	1CB1CC20-36B9-11D5-9548-00D0592D548C	18675	13	Saprotroph	|Wood Saprotroph|	Highly Probable	Polyporoid	White Rot	As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Trichaptum_sector
ASV134	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_coffeae	Penicillium_coffeae	sSH1226512.09FU	0.7086829	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Penicillium_coffeae
ASV135	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA	Peniophora	NA	0.8971314	Peniophoraceae	1CB1CD8B-36B9-11D5-9548-00D0592D548C	81123	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Peniophora
ASV136	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA	Agaricomycetes	NA	1.0000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Agaricomycetes
ASV137	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolus	Sporidiobolus_salmonicolor	Sporidiobolus_salmonicolor	NA	0.9957458	Sporidiobolaceae	20AD224D-9EFF-4C1C-8214-59BA76CCCDF3	82101	9	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic, found in a wide range of habitats and especially in aquatic systems. Some of the red yeasts in this family are widely encountered spoilage organisms and opportunistic human pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Sporidiobolus_salmonicolor
ASV138	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaetopsis	NA	Hymenochaetopsis	NA	0.9662446	Hymenochaetaceae	CC29D6F9-5984-496D-97E7-42EB138C1FEE	536196	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Wood Saprotroph	Probable	Corticioid-Polyporoid	NULL	Lignicolous, causing white rots, rarely ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Hymenochaetopsis
ASV139	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Penicillium	NA	0.8212119	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Penicillium
ASV140	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Physisporinus	Physisporinus_vitreus	Physisporinus_vitreus	sSH1257021.09FU	0.9999650	Meripilaceae	1CB1CD64-36B9-11D5-9548-00D0592D548C	80007	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Polyporoid	NULL	Saprobic or parasitic on hardwood trees, often growing from buried roots and causing white rot (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Physisporinus_vitreus
ASV141	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	NA	NA	Gnomoniaceae	NA	0.9997364	Gnomoniaceae	F36F48E8-C228-4922-8DB6-AE905CA55412	80810	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Most species are saprobes or endophytes in leaves and bark, but a few are neurotrophic pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Gnomoniaceae
ASV142	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	NA	NA	Didymosphaeriaceae	NA	0.9871168	Didymosphaeriaceae	1CB1CD0B-36B9-11D5-9548-00D0592D548C	80702	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))	Didymosphaeriaceae
ASV143	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	NA	NA	Malasseziaceae	sSH1013102.09FU	1.0000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Malasseziaceae
ASV144	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia_pistaciae	Ramularia_pistaciae	sSH1551179.09FU	0.9618495	Mycosphaerellaceae	1CB1CD75-36B9-11D5-9548-00D0592D548C	81043	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Ramularia_pistaciae
ASV145	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Incrustoporiaceae	Skeletocutis	Skeletocutis_diluta	Skeletocutis_diluta	sSH1010832.09FU	0.9999984	Skeletocutis	1CB1A2C9-36B9-11D5-9548-00D0592D548C	18554	13	Saprotroph	|Wood Saprotroph|	Highly Probable	Polyporoid	White Rot	As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Skeletocutis_diluta
ASV146	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Magnibotryascoma	Magnibotryascoma_kunmingense	Magnibotryascoma_kunmingense	sSH0912134.09FU	0.9933451	Teichosporaceae	85063DF7-2F4D-49D2-9365-1AA2B32DC6B7	82136	9	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in plant material (Jaklitsch et al. 2016)	Jaklitsch WM,et al. 2016. Mycological Progress 15:e31 ((https://doi.org/10.1007/s11557-016-1171-2))	Magnibotryascoma_kunmingense
ASV147	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	NA	Talaromyces	NA	0.9988476	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Talaromyces
ASV148	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	Malassezia_restricta	sSH1102553.09FU	0.9999844	Malassezia restricta	0ED4066F-EEFE-46DE-95EC-94452E61766B	437921	20	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))	Malassezia_restricta
ASV149	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	NA	Botryobasidium	sSH1241749.09FU	0.8706713	Botryobasidiaceae	1CB1CCD1-36B9-11D5-9548-00D0592D548C	81744	9	Saprotroph	Undefined Saprotroph-Wood Saprotroph	Probable	Corticioid	NULL	Saprobic, typically on rotten wood (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Botryobasidium
ASV150	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	NA	NA	NA	Auriculariales	sSH1300732.09FU	0.9867013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Auriculariales
ASV151	Fungi	NA	NA	NA	NA	NA	NA	NA	sSH0884008.09FU	0.9847113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV152	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	NA	NA	Chionosphaeraceae	NA	0.9112955	Chionosphaeraceae	1CB1CCE4-36B9-11D5-9548-00D0592D548C	82032	9	Pathotroph-Saprotroph	Fungal Parasite-Undefined Saprotroph	Possible	Microfungus	NULL	Species appear to be mycoparasitic, associated with fungi of bark beetle galleries, wood-inhabiting Xylariaceae or lichens. Others are found erumpent from bark or decaying wood and may be sabrobic (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Chionosphaeraceae
ASV153	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	NA	Xylodon	NA	0.9995587	Schizoporaceae	1CB1CDC9-36B9-11D5-9548-00D0592D548C	80038	9	Saprotroph	Wood Saprotroph	Probable	Corticioid	White Rot	Saprobic, causing white rot of standing and fallen wood of coniferous and broadleaved trees, rarely on herbaceous stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Xylodon
ASV154	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA	Pleosporales	NA	0.9937284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pleosporales
ASV155	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_magnum	Filobasidium_magnum	sSH1389554.09FU	0.8137834	Filobasidium	3CBD5388-8494-45D1-8790-A0713070C68B	16130	13	Saprotroph	|Undefined Saprotroph|	Highly Probable	Dimorphic-Facultative Yeast	NULL	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Filobasidium_magnum
ASV156	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani	Fusarium_solani	sSH0970292.09FU	0.8343018	Nectriaceae	1CB1CD7A-36B9-11D5-9548-00D0592D548C	81059	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))	Fusarium_solani
ASV157	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia_lipolytica	Yarrowia_lipolytica	sSH1006766.09FU	0.8809215	Saccharomycetales	B73A15F4-AB90-4E11-B6D7-E0BE710B986C	816369	7	Saprotroph	Undefined Saprotroph	Possible	Yeast	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Yarrowia_lipolytica
ASV158	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Aurantiporus	Aurantiporus_fissilis	Aurantiporus_fissilis	sSH1020165.09FU	0.9933755	Meruliaceae	9E12B0B5-1D82-4978-AF3D-6EC22C257619	89005	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Corticioid-Polyporoid	NULL	Saprobic or parasitic on woody plants, causing a white rot (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Aurantiporus_fissilis
ASV159	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_patagonicus	Sporobolomyces_patagonicus	sSH0882337.09FU	0.8642221	Sporidiobolaceae	20AD224D-9EFF-4C1C-8214-59BA76CCCDF3	82101	9	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic, found in a wide range of habitats and especially in aquatic systems. Some of the red yeasts in this family are widely encountered spoilage organisms and opportunistic human pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Sporobolomyces_patagonicus
ASV160	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	Malassezia_restricta	sSH1102553.09FU	0.9999983	Malassezia restricta	0ED4066F-EEFE-46DE-95EC-94452E61766B	437921	20	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))	Malassezia_restricta
ASV161	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	NA	Oidiodendron	NA	0.9473348	Myxotrichaceae	1CB1CD78-36B9-11D5-9548-00D0592D548C	81054	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Probable	Microfungus	NULL	Many species are cellulolytic, occurring on paper, straw etc. Others are mycorrhizal associated with roots of Ericaceae and Epacridaceae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Oidiodendron
ASV162	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	NA	NA	NA	Auriculariales	sSH1300732.09FU	0.9786718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Auriculariales
ASV163	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	NA	NA	Neodevriesiaceae	sSH0960579.09FU	0.9173180	Neodevriesiaceae	F8168581-D82E-4A75-9190-C7925084B4CA	807766	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Members are foliicolous, saprobic or plant pathogenic (Quaedvlieg et al. 2014)	Quaedvlieg W., et al. 2014. Persoonia 3:31-40 ((http://doi.org/10.3767/003158514X681981))	Neodevriesiaceae
ASV164	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	NA	Purpureocillium	NA	0.9995666	Ophiocordycipitaceae	118FAE1B-EB93-4474-A604-F47BB984C8D1	504190	9	Pathotroph-Symbiotroph	Endophyte-Insect Pathogen	Probable	Microfungus	NULL	A family of parasitic fungi (Sung et al. 2007)	Sung GH, et al. 2007. Studies in Mycology 57:5-59 ((https://doi.org/10.3114/sim.2007.57.01)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))	Purpureocillium
ASV165	Fungi	NA	NA	NA	NA	NA	NA	NA	sSH1184242.09FU	0.9704379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV166	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA	Peniophora	NA	0.8662343	Peniophoraceae	1CB1CD8B-36B9-11D5-9548-00D0592D548C	81123	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Peniophora
ASV167	Fungi	NA	NA	NA	NA	NA	NA	NA	NA	1.0000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV168	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea	Hortaea_werneckii	Hortaea_werneckii	sSH1000031.09FU	1.0000000	Teratosphaeriaceae	87A3FDCC-E75C-4F2E-B987-C7579847CE32	504465	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)	Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))	Hortaea_werneckii
ASV169	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_bicornis	Peniophora_bicornis	sSH1068927.09FU	0.9989408	Peniophoraceae	1CB1CD8B-36B9-11D5-9548-00D0592D548C	81123	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Peniophora_bicornis
ASV170	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	NA	Taphrina	sSH1286377.09FU	0.9989555	Taphrinaceae	1CB1CDE3-36B9-11D5-9548-00D0592D548C	81450	9	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	Biotrophic on plants, usually causing hyperplasia (galls, witches broom) or lesions (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Taphrina
ASV171	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Penicillium	NA	0.7742269	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Penicillium
ASV172	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides	Aspergillus_penicillioides	sSH1228776.09FU	0.9244857	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Aspergillus_penicillioides
ASV173	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Graphiolaceae	NA	NA	Graphiolaceae	sSH1087961.09FU	0.7412591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Graphiolaceae
ASV174	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA	Agaricomycetes	sSH1112177.09FU	0.9893463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Agaricomycetes
ASV175	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	Hypocreales	NA	0.9661001	Hypocreales	1CB18E60-36B9-11D5-9548-00D0592D548C	90477	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Hypocreales
ASV176	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_slooffiae	Cystobasidium_slooffiae	sSH0970186.09FU	0.9975056	Cystobasidium	089EE3BE-975C-47BF-8DD0-494C299F8F10	17446	13	Pathotroph	|Fungal Parasite|	Highly Probable	Dimorphic-Facultative Yeast	NULL	As mycoparasite (Põlme et al. 2020); Decay fungal material (Põlme et al. 2020); Host - Thelebolales (Põlme et al. 2020)	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Cystobasidium_slooffiae
ASV177	Fungi	Basidiomycota	Exobasidiomycetes	NA	NA	NA	NA	Exobasidiomycetes	sSH1252391.09FU	0.9999961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Exobasidiomycetes
ASV178	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_bicornis	Peniophora_bicornis	sSH1068927.09FU	0.9946696	Peniophoraceae	1CB1CD8B-36B9-11D5-9548-00D0592D548C	81123	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Peniophora_bicornis
