"","qseqid","kingdom","phylum","class","order","family","genus","species","assignment","species_hypothesis","Confidence.x","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","assignment.1","Kingdom","Phylum","Class","Order","Family","Genus","Species","n_100_hits","Match_Type","matched_sseqids","Species_Agreement","Genus_Agreement","Family_Agreement","Order_Agreement","Class_Agreement","Phylum_Agreement"
"11","ASV11","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium_tubakii","Acremonium_tubakii","sSH1310858.09FU","0.9822399","Hypocreales","1CB18E60-36B9-11D5-9548-00D0592D548C","90477","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Acremonium_tubakii","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV6683;ASV6836;ASV6893;ASV6938;ASV7136;ASV7223;ASV7278;ASV7416;ASV7740;ASV7782",NA,NA,NA,NA,NA,"Match"
"12","ASV12","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_restricta","Malassezia_restricta","sSH1102553.09FU","0.9999938","Malassezia restricta","0ED4066F-EEFE-46DE-95EC-94452E61766B","437921","20","Pathotroph","Animal Pathogen","Probable","NULL","NULL","Opportunistic human pathogen","https://www.cdc.gov ((https://www.cdc.gov))","Malassezia_restricta","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_restricta",1,"Unique 100% match","ASV2729","Match","Match","Match","Match","Match","Match"
"13","ASV13","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_endophyticum","Cladosporium_endophyticum","sSH4359617.09FU","0.9832336","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Cladosporium_endophyticum","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV3956;ASV4128;ASV4454;ASV4476;ASV4811;ASV4920;ASV5341;ASV6136;ASV6439;ASV7475",NA,NA,NA,NA,NA,"Match"
"14","ASV14","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_equina","Exophiala_equina","sSH1072530.09FU","0.9763045","Herpotrichiellaceae","1CB1CD37-36B9-11D5-9548-00D0592D548C","80856","9","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Probable","Facultative Yeast-Microfungus","NULL","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Exophiala_equina","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA,10,"Multiple 100% matches","ASV6766;ASV6780;ASV6811;ASV7195;ASV7220;ASV7378;ASV7412;ASV7482;ASV7587;ASV8248",NA,NA,NA,NA,"Match","Match"
"15","ASV15","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Verrucocladosporium",NA,"Verrucocladosporium",NA,"0.9997408","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Verrucocladosporium","Fungi",NA,NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV7585;ASV7586;ASV7688;ASV7890;ASV7939;ASV7947;ASV8100;ASV8116;ASV8183;ASV8191",NA,NA,NA,NA,NA,NA
"16","ASV16","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Toxicocladosporium",NA,"Toxicocladosporium",NA,"0.8325458","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Toxicocladosporium","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Toxicocladosporium","Toxicocladosporium_strelitziae",2,"Multiple 100% matches","ASV229;ASV6752",NA,"Match","Match","Match","Match","Match"
"17","ASV17","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_lecanii-corni","Exophiala_lecanii-corni","sSH1107892.09FU","0.9994610","Herpotrichiellaceae","1CB1CD37-36B9-11D5-9548-00D0592D548C","80856","9","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Probable","Facultative Yeast-Microfungus","NULL","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Exophiala_lecanii-corni","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_lecanii-corni",5,"Multiple 100% matches","ASV52;ASV7221;ASV7483;ASV7484;ASV7626","Match","Match","Match","Match","Match","Match"
"18","ASV18","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Toxicocladosporium",NA,"Toxicocladosporium",NA,"0.9130143","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Toxicocladosporium","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,7,"Multiple 100% matches","ASV4290;ASV45;ASV4978;ASV6326;ASV7165;ASV7222;ASV7323",NA,NA,NA,NA,"Match","Match"
"19","ASV19","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae",NA,NA,"Polyporaceae",NA,"0.9999998","Polyporaceae","1CB19B17-36B9-11D5-9548-00D0592D548C","81203","9","Saprotroph","Wood Saprotroph","Probable","Polyporoid","Brown Rot-White Rot","Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Polyporaceae","Fungi",NA,NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV5327;ASV5928;ASV6024;ASV6101;ASV7373;ASV7591;ASV7629;ASV7821;ASV7994;ASV8254",NA,NA,NA,NA,NA,NA
"20","ASV20","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sphaerospermum","Cladosporium_sphaerospermum","sSH4358594.09FU","0.9973064","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Cladosporium_sphaerospermum","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV4297;ASV4428;ASV5235;ASV5674;ASV6035;ASV6076;ASV6552;ASV6712;ASV6756;ASV6967",NA,NA,NA,NA,NA,"Match"
