"","qseqid","kingdom","phylum","class","order","family","genus","species","assignment","species_hypothesis","Confidence.x","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","assignment.1","Kingdom","Phylum","Class","Order","Family","Genus","Species","n_100_hits","Match_Type","matched_sseqids"
"340","ASV340","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Sordariomycetes",NA,"0.7352280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sordariomycetes","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,6,"Multiple 100% matches","ASV141;ASV7517;ASV7741;ASV7825;ASV8285;ASV8286"
"341","ASV341","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA,"Phaeosphaeria","sSH1098771.09FU","0.7581932","Phaeosphaeriaceae","1CB1CD8E-36B9-11D5-9548-00D0592D548C","81637","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Probable","Microfungus","NULL","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Phaeosphaeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","ASV342","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaete",NA,"Hymenochaete",NA,"0.9999555","Hymenochaetaceae","CC29D6F9-5984-496D-97E7-42EB138C1FEE","536196","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Wood Saprotroph","Probable","Corticioid-Polyporoid","NULL","Lignicolous, causing white rots, rarely ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Hymenochaete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","ASV343","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Basidiodendron","Basidiodendron_pelinum","Basidiodendron_pelinum","sSH1598665.09FU","0.7462253","Basidiodendron","1CB1C4F5-36B9-11D5-9548-00D0592D548C","17148","13","Saprotroph","Undefined Saprotroph-|Wood Saprotroph|","Probable","Corticioid","NULL","Decay wood (Põlme et al. 2020)","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Basidiodendron_pelinum","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Basidiodendron","Basidiodendron_pelinum",8,"Multiple 100% matches","ASV1046;ASV225;ASV320;ASV375;ASV492;ASV5364;ASV8112;ASV8119"
"344","ASV344","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_spartinicola","Phaeosphaeria_spartinicola","sSH0970696.09FU","0.9950186","Phaeosphaeriaceae","1CB1CD8E-36B9-11D5-9548-00D0592D548C","81637","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Probable","Microfungus","NULL","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Phaeosphaeria_spartinicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","ASV345","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales",NA,"Trichaptum","Trichaptum_biforme","Trichaptum_biforme","sSH1186721.09FU","0.9992340","Trichaptum","1CB1CC20-36B9-11D5-9548-00D0592D548C","18675","13","Saprotroph","|Wood Saprotroph|","Highly Probable","Polyporoid","White Rot","As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Trichaptum_biforme","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Trichaptum","Trichaptum_biforme",1,"Unique 100% match","ASV1347"
"346","ASV346","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota",NA,"0.8489780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","ASV347","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_dimennae","Vishniacozyma_dimennae","sSH0999935.09FU","0.7069469","Tremellales","1CB1CE64-36B9-11D5-9548-00D0592D548C","90451","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Possible","Tremelloid-Yeast","NULL","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Vishniacozyma_dimennae","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_dimennae",1,"Unique 100% match","ASV1123"
"348","ASV348","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_lunata","Curvularia_lunata","sSH1224132.09FU","0.7455129","Pleosporaceae","1CB1CDA2-36B9-11D5-9548-00D0592D548C","81188","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))","Curvularia_lunata","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_lunata",2,"Multiple 100% matches","ASV1852;ASV274"
"349","ASV349","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota","sSH0943953.09FU","0.8873326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","ASV350","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"Agaricomycetes",NA,"1.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agaricomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
